Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization	Song
1	Spectrogram 1	1	0.946857121	1.191550534	1304.2	1719.2	Ramphastos-sulfuratus-274646.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-274646.wav	0.9469	Ramphastos sulfuratus	Ramphastos sulfuratus		1
2	Spectrogram 1	1	1.510715856	1.712853893	1363.5	1897.1	Ramphastos-sulfuratus-274646.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-274646.wav	1.5107	Ramphastos sulfuratus	Ramphastos sulfuratus		1
3	Spectrogram 1	1	2.106491123	2.383101069	1245.0	1778.5	Ramphastos-sulfuratus-274646.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-274646.wav	2.1065	Ramphastos sulfuratus	Ramphastos sulfuratus		1
4	Spectrogram 1	1	3.383152410	3.564012759	1274.6	2134.2	Ramphastos-sulfuratus-274646.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-274646.wav	3.3832	Ramphastos sulfuratus	Ramphastos sulfuratus		1
5	Spectrogram 1	1	3.947011145	4.170426870	1304.2	1986.0	Ramphastos-sulfuratus-274646.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-274646.wav	3.9470	Ramphastos sulfuratus	Ramphastos sulfuratus		1
6	Spectrogram 1	1	4.553425256	4.798118670	1304.2	1867.4	Ramphastos-sulfuratus-274646.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-274646.wav	4.5534	Ramphastos sulfuratus	Ramphastos sulfuratus		1
7	Spectrogram 1	1	5.138561679	5.415171625	1215.3	1897.1	Ramphastos-sulfuratus-274646.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-274646.wav	5.1386	Ramphastos sulfuratus	Ramphastos sulfuratus		1
8	Spectrogram 1	1	5.755614635	5.989669204	1245.0	1986.0	Ramphastos-sulfuratus-274646.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-274646.wav	5.7556	Ramphastos sulfuratus	Ramphastos sulfuratus		1
9	Spectrogram 1	1	6.319473370	6.574805627	1274.6	1926.7	Ramphastos-sulfuratus-274646.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-274646.wav	6.3195	Ramphastos sulfuratus	Ramphastos sulfuratus		1
10	Spectrogram 1	1	6.915248637	7.138664362	1304.2	1986.0	Ramphastos-sulfuratus-274646.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Audios Models Species\Ramphastos-sulfuratus-274646.wav	6.9152	Ramphastos sulfuratus	Ramphastos sulfuratus		1
